receptor_slug	cluster	panel_tier	ligand_tier	tier_note	agonist_name	agonist_modality	agonist_is_chain	agonist_pdb	agonist_res	agonist_struct_state	agonist_species	agonist_site	agonist_on_our_ref	antagonist_name	antagonist_role	antagonist_modality	antagonist_is_chain	antagonist_pdb	antagonist_res	antagonist_struct_state	antagonist_species	antagonist_site	antagonist_on_our_ref	n_allosteric_skipped	n_antibody_skipped
5HT1B	001_001_001	EXTENSION-census	T1_small_molecule		donitriptan	small-molecule	0	6G79	3.78	Active	Homo sapiens	orthosteric	1	CHEMBL428892	antagonist	small-molecule	0	5V54	3.9	Inactive	Homo sapiens	orthosteric	1	0	0
5HT2A	001_001_001	EXTENSION-chimeric-reference	T1_small_molecule		lisuride	small-molecule	0	8UWL	2.8	Active	Homo sapiens	orthosteric	1	zotepine	antagonist	small-molecule	0	6A94	2.9	Inactive	Homo sapiens	orthosteric	0	0	0
5HT2C	001_001_001	EXTENSION-chimeric-reference	T1_small_molecule		lorcaserin	small-molecule	0	8DPF	2.84	Active	Homo sapiens	orthosteric	1	ritanserin	inverse_agonist	small-molecule	0	6BQH	2.7	Inactive	Homo sapiens	orthosteric	1	0	0
5HT5A	001_001_001	PRIMARY	T1_small_molecule		5-CT	small-molecule	0	7X5H	3.1	Active	Homo sapiens	orthosteric	1	CHEMBL3654198	antagonist	small-molecule	0	7UM4	2.8	Inactive	Homo sapiens	orthosteric	1	0	0
AA1R	001_006_001	PRIMARY	T1_small_molecule		adenosine	small-molecule	0	7LD3	3.2	Active	Homo sapiens	orthosteric	1	DU172	antagonist	small-molecule	0	5UEN	3.2	Inactive	Homo sapiens	orthosteric	1	1	0
AA2AR	001_006_001	PRIMARY	T1_small_molecule		(2S,3S,4R,5R)-5-(6-amino-2-((E)-phenyldiazen	small-molecule	0	8WDT	3.34	Active	Homo sapiens	orthosteric	1	ZM-241385	antagonist	small-molecule	0	6S0L	2.65	Inactive	Homo sapiens	orthosteric	1	0	0
ACM1	001_001_002	EXTENSION-census	T1_small_molecule		iperoxo	small-molecule	0	6OIJ	3.3	Active	Homo sapiens	orthosteric	1	HYOSCYAMINE	antagonist	small-molecule	0	6WJC	2.55	Inactive	Homo sapiens	orthosteric	1	1	0
ACM2	001_001_002	EXTENSION-census	T1_small_molecule		acetylcholine	small-molecule	0	7T94	3.16	Active	Homo sapiens	orthosteric	1	N-methyl scopolamine	antagonist	small-molecule	0	5ZK8	3.0	Inactive	Homo sapiens	orthosteric	1	4	0
ACM4	001_001_002	PRIMARY	T1_small_molecule		iperoxo	small-molecule	0	7TRP	2.4	Active	Homo sapiens	orthosteric	1	tiotropium	antagonist	small-molecule	0	5DSG	2.6	Inactive	Homo sapiens	orthosteric	1	4	0
ADA1A	001_001_003	EXTENSION-chimeric-reference	T1_small_molecule		oxymetazoline	small-molecule	0	7YM8	2.92	Active	Homo sapiens	orthosteric	1	tamsulosin	antagonist	small-molecule	0	7YMJ	3.35	Inactive	Homo sapiens	orthosteric	0	0	0
